geo_tid,rid,year,import_value,export_value
1,10,2005,11289.4,6948
2,10,2006,13005.5,7440.6
3,10,2007,18007.4,9808.2
4,10,2008,18834.8,8544.2
5,10,2009,17890.5,8479.8
6,10,2010,18707.1,11437
7,10,2011,19282.4,9071
8,10,2012,17682.1,8903.7
9,10,2013,16228.9,10069.1
10,10,2014,17815.3,7473.8
11,10,2015,17415.7,6034.5
12,10,2016,15894,7031.9
13,10,2017,16708.8,8979.1
14,10,2018,17753.4,10180.1
15,10,2019,16837.1,7420.9
16,10,2020,17249.4,7192
17,10,2021,18191.1,12556.2
18,10,2022,14880.9,12312.7
19,20,2005,2340.1,964.5
20,20,2006,3205.6,1048.6
21,20,2007,4121.8,1343.3
22,20,2008,5418.5,899.3
23,20,2009,6014.3,1072.9
24,20,2010,4698.7,1704.8
25,20,2011,6099.9,1418.7
26,20,2012,5078.3,1755.9
27,20,2013,4287.4,1371.1
28,20,2014,4471.2,1300.8
29,20,2015,4072.4,1325.3
30,20,2016,4182.2,1712.1
31,20,2017,4258.2,2126.6
32,20,2018,5344.4,2068.3
33,20,2019,5787.3,2768.4
34,20,2020,7348.6,4213.2
35,20,2021,9257.1,7464.9
36,20,2022,6685.6,6421.2
37,30,2005,744.8,68.7
38,30,2006,685.2,151.9
39,30,2007,1723.4,158.5
40,30,2008,1635.3,161.2
41,30,2009,1360,119.9
42,30,2010,1073.6,191.6
43,30,2011,2578.3,107.4
44,30,2012,2045.5,150.5
45,30,2013,2633,183.9
46,30,2014,2977.9,511.7
47,30,2015,3950.6,244.3
48,30,2016,4295.2,213.8
49,30,2017,4833.3,301.2
50,30,2018,6048.3,244.8
51,30,2019,4412.5,282.1
52,30,2020,4440.7,325.5
53,30,2021,4365.6,484.9
54,30,2022,3036.6,437
55,40,2005,5737.1,5644.3
56,40,2006,8262.3,6849.8
57,40,2007,9829.9,9279.2
58,40,2008,7476,6421.9
59,40,2009,5299.8,4408.7
60,40,2010,5812.2,3600.3
61,40,2011,4814.8,3431.1
62,40,2012,3977,3757.9
63,40,2013,4167.8,2510.7
64,40,2014,3904.2,2185.8
65,40,2015,2587.5,1275.2
66,40,2016,2906,1813.3
67,40,2017,2940.6,2080.7
68,40,2018,3383.8,2856
69,40,2019,3197.5,2403.8
70,40,2020,3665.1,2891.8
71,40,2021,5029.4,4395.2
72,40,2022,4205.8,3400.8
73,50,2005,2735.7,2125.2
74,50,2006,3244.4,2729.6
75,50,2007,5473.9,3155.9
76,50,2008,4750.5,3852
77,50,2009,5404.8,4761.3
78,50,2010,8679.5,4864.7
79,50,2011,10181.8,5324.3
80,50,2012,10968.1,5160.9
81,50,2013,16679.1,5472.4
82,50,2014,13612.5,5514.3
83,50,2015,10423.7,5749.7
84,50,2016,10971.1,6409
85,50,2017,12370.7,6037.7
86,50,2018,12871.2,6147.2
87,50,2019,12580.3,6772.5
88,50,2020,13204.9,6732
89,50,2021,18924,7653.6
90,50,2022,14476,8331
91,60,2005,4444.8,2094
92,60,2006,6027.6,2969
93,60,2007,9870.2,4364.3
94,60,2008,9534.8,3144.2
95,60,2009,10517.1,3400
96,60,2010,10964.5,4026.1
97,60,2011,11675.9,4620.4
98,60,2012,11925.7,4912.8
99,60,2013,12158.6,3467.5
100,60,2014,13301.2,3110.1
101,60,2015,11402.4,2064.4
102,60,2016,10749.3,1670.1
103,60,2017,12558.5,2678.9
104,60,2018,14420.2,3398.6
105,60,2019,14508.3,3263.4
106,60,2020,17403.8,4409.5
107,60,2021,22661.6,6855.3
108,60,2022,17165.6,5256.7
109,70,2005,176.5,251.3
110,70,2006,269.2,328.1
111,70,2007,417.5,786.2
112,70,2008,410.3,639.5
113,70,2009,560,380.9
114,70,2010,625.1,542.9
115,70,2011,505,499.1
116,70,2012,561,440.1
117,70,2013,475.9,485.3
118,70,2014,553.8,498.2
119,70,2015,735.4,508.2
120,70,2016,794.6,527.9
121,70,2017,697.3,670.8
122,70,2018,461.6,600.9
123,70,2019,397.5,548.9
124,70,2020,437.4,606.6
125,70,2021,587.2,885.2
126,70,2022,468.9,830.3
127,80,2005,277.1,16.9
128,80,2006,107.8,64
129,80,2007,183.2,21.2
130,80,2008,215.5,14.1
131,80,2009,245.9,18.3
132,80,2010,352.1,14.9
133,80,2011,427.3,22.2
134,80,2012,356.8,22.3
135,80,2013,257.2,16.1
136,80,2014,365.7,25.5
137,80,2015,345.9,21.3
138,80,2016,233.7,37.8
139,80,2017,279.9,33.5
140,80,2018,384.2,34.5
141,80,2019,315.5,34.2
142,80,2020,291.8,42.8
143,80,2021,536.9,36.6
144,80,2022,361.1,47.4
145,90,2005,2695.5,342.2
146,90,2006,3500.5,435.9
147,90,2007,3143.9,439
148,90,2008,2066.5,1492.5
149,90,2009,1700.7,1231.3
150,90,2010,3182.7,610.2
151,90,2011,3645.5,577.7
152,90,2012,5088.3,1884
153,90,2013,3294,2446.5
154,90,2014,4303.7,1624.9
155,90,2015,6454.1,1481.7
156,90,2016,8976.9,2312.3
157,90,2017,8455.7,2918.5
158,90,2018,5862.3,2964.6
159,90,2019,4805.1,2881.8
160,90,2020,6694.4,2263.1
161,90,2021,7749.5,3574.5
162,90,2022,9503.1,2586.9
