id,product_id,year,import,export,Surplus / Deficit
1,101,2005,2844.2,3213.8,369.6
2,102,2005,2361.8,3218.6,856.8
3,103,2005,153.2,981,827.8
4,104,2005,0,2809,2809
5,201,2005,241.9,4,-237.9
6,202,2005,102.9,6.8,-96.1
7,203,2005,105.9,20.4,-85.5
8,204,2005,29.4,69.8,40.4
9,205,2005,88.1,2.9,-85.2
10,206,2005,531.7,11.9,-519.8
11,207,2005,143.7,52.9,-90.8
12,208,2005,183,33.9,-149.1
13,301,2005,887.8,7.7,-880.1
14,302,2005,362.8,12.2,-350.6
15,303,2005,2.1,136,133.9
16,304,2005,90,37.4,-52.6
17,401,2005,104,155.3,51.3
18,402,2005,130.5,104.7,-25.8
19,403,2005,62.5,226.3,163.8
20,404,2005,177.3,350.5,173.2
21,405,2005,272.5,22.5,-250
22,406,2005,22.8,107.7,84.9
23,501,2005,756.4,305,-451.4
24,502,2005,627.4,124.5,-502.9
25,503,2005,125.4,138.5,13.1
26,601,2005,166.2,32.4,-133.8
27,602,2005,127.2,42.2,-85
28,603,2005,101.3,49.7,-51.6
29,604,2005,85.3,13.1,-72.2
30,605,2005,195.5,14.4,-181.1
31,606,2005,212,62,-150
32,701,2005,1642.3,881,-761.3
33,702,2005,152,329.2,177.2
34,703,2005,96.7,20.9,-75.8
35,801,2005,108.3,14.2,-94.1
36,802,2005,455,22.7,-432.3
37,803,2005,892.7,96.7,-796
38,901,2005,15799.2,4723.3,-11075.9
39,101,2006,1560.2,3128.3,1568.1
40,102,2006,2421.6,3319.1,897.5
41,103,2006,146.1,952,805.9
42,104,2006,0,2708.5,2708.5
43,201,2006,476.1,61.7,-414.4
44,202,2006,155.5,7.9,-147.6
45,203,2006,187.4,39.5,-147.9
46,204,2006,26.5,67.9,41.4
47,205,2006,96,2,-94
48,206,2006,853.2,85.8,-767.4
49,207,2006,132.9,92.1,-40.8
50,208,2006,267.8,60.4,-207.4
51,301,2006,1046.6,10,-1036.6
52,302,2006,529.6,25.5,-504.1
53,303,2006,35.7,145.8,110.1
54,304,2006,75.7,109,33.3
55,401,2006,132.6,124.8,-7.8
56,402,2006,147.8,128.9,-18.9
57,403,2006,119.9,258.9,139
58,404,2006,310.5,453.6,143.1
59,405,2006,315.5,17.6,-297.9
60,406,2006,16.5,124.5,108
61,501,2006,1357.2,373.2,-984
62,502,2006,887.4,238,-649.4
63,503,2006,74.7,306,231.3
64,601,2006,272.8,63.7,-209.1
65,602,2006,182.8,43.7,-139.1
66,603,2006,135.1,73.9,-61.2
67,604,2006,81.6,139,57.4
68,605,2006,270.1,51,-219.1
69,606,2006,354.9,82.6,-272.3
70,701,2006,2189.1,1516.7,-672.4
71,702,2006,425.3,458.7,33.4
72,703,2006,327.6,50.1,-277.5
73,801,2006,242.8,121.6,-121.2
74,802,2006,643.9,74.6,-569.3
75,803,2006,887.2,154.3,-732.9
76,901,2006,20921.9,6346.6,-14575.3
77,101,2007,5086,4910.5,-175.5
78,102,2007,4475,4756.1,281.1
79,103,2007,0,1540,1540
80,104,2007,0,3266,3266
81,201,2007,507.4,2.9,-504.5
82,202,2007,204.1,10.7,-193.4
83,203,2007,318.2,79.2,-239
84,204,2007,47.6,143.1,95.5
85,205,2007,200.4,5.4,-195
86,206,2007,1277.7,134.2,-1143.5
87,207,2007,257.5,44.3,-213.2
