product,sector,year,import,export,Surplus / Deficit
Crude oil,Oil merchandise,2005,2844.2,3213.8,369.6
Crude oil,Oil merchandise,2006,1560.2,3128.3,1568.1
Crude oil,Oil merchandise,2007,5086,4910.5,-175.5
Crude oil,Oil merchandise,2008,2613,4004.3,1391.3
Crude oil,Oil merchandise,2009,1876.7,4475,2598.3
Crude oil,Oil merchandise,2010,2334,5662,3328
Crude oil,Oil merchandise,2011,2050.9,5211,3160.1
Crude oil,Oil merchandise,2012,2665,7303.2,4638.2
Crude oil,Oil merchandise,2013,2093,7715,5622
Crude oil,Oil merchandise,2014,2492.4,6158.2,3665.8
Crude oil,Oil merchandise,2015,910.7,3557.9,2647.2
Crude oil,Oil merchandise,2016,1898.9,3876,1977.1
Crude oil,Oil merchandise,2017,2534.4,4600.8,2066.4
Crude oil,Oil merchandise,2018,2567.8,4851.3,2283.5
Crude oil,Oil merchandise,2019,4286.3,3245,-1041.3
Crude oil,Oil merchandise,2020,3439,2677.8,-761.2
Crude oil,Oil merchandise,2021,4525,3845.3,-679.7
Crude oil,Oil merchandise,2022,3277.8,2332.6,-945.2
Oil products,Oil merchandise,2005,2361.8,3218.6,856.8
Oil products,Oil merchandise,2006,2421.6,3319.1,897.5
Oil products,Oil merchandise,2007,4475,4756.1,281.1
Oil products,Oil merchandise,2008,3993.5,2818.2,-1175.3
Oil products,Oil merchandise,2009,2921.3,2623.6,-297.7
Oil products,Oil merchandise,2010,6447.6,3458.3,-2989.3
Oil products,Oil merchandise,2011,8915.6,2771,-6144.6
Oil products,Oil merchandise,2012,8680.7,2885.5,-5795.2
Oil products,Oil merchandise,2013,10556.8,3172.1,-7384.7
Oil products,Oil merchandise,2014,9230.4,1953.1,-7277.3
Oil products,Oil merchandise,2015,6138.5,1741.4,-4397.1
Oil products,Oil merchandise,2016,7391,2202.3,-5188.7
Oil products,Oil merchandise,2017,7951.6,3490.4,-4461.2
Oil products,Oil merchandise,2018,8122.7,4824,-3298.7
Oil products,Oil merchandise,2019,4348.5,3916.3,-432.2
Oil products,Oil merchandise,2020,4190.2,4281.6,91.4
Oil products,Oil merchandise,2021,7227.1,5006.6,-2220.5
Oil products,Oil merchandise,2022,7643.1,3198.8,-4444.3
Bunker and jet fuel,Oil merchandise,2005,153.2,981,827.8
Bunker and jet fuel,Oil merchandise,2006,146.1,952,805.9
Bunker and jet fuel,Oil merchandise,2007,0,1540,1540
Bunker and jet fuel,Oil merchandise,2008,425.8,1087,661.2
Bunker and jet fuel,Oil merchandise,2009,363,934,571
Bunker and jet fuel,Oil merchandise,2010,480.4,1110,629.6
Bunker and jet fuel,Oil merchandise,2011,808,1283,475
Bunker and jet fuel,Oil merchandise,2012,778.5,1230,451.5
Bunker and jet fuel,Oil merchandise,2013,470.1,832,361.9
Bunker and jet fuel,Oil merchandise,2014,342.3,709.8,367.5
Bunker and jet fuel,Oil merchandise,2015,237,355.5,118.5
Bunker and jet fuel,Oil merchandise,2016,243.6,278.7,35.1
Bunker and jet fuel,Oil merchandise,2017,261.8,519.4,257.6
Bunker and jet fuel,Oil merchandise,2018,318.4,760.4,442
Bunker and jet fuel,Oil merchandise,2019,266.1,600.9,334.8
Bunker and jet fuel,Oil merchandise,2020,210.7,313,102.3
Bunker and jet fuel,Oil merchandise,2021,260.9,935.5,674.6
Bunker and jet fuel,Oil merchandise,2022,237.7,1083.4,845.7
Natural gas,Oil merchandise,2005,0,2809,2809
Natural gas,Oil merchandise,2006,0,2708.5,2708.5
Natural gas,Oil merchandise,2007,0,3266,3266
Natural gas,Oil merchandise,2008,0,3095,3095
Natural gas,Oil merchandise,2009,0,2226,2226
Natural gas,Oil merchandise,2010,0,1905.4,1905.4
Natural gas,Oil merchandise,2011,0,1960,1960
Natural gas,Oil merchandise,2012,0,1604.3,1604.3
Natural gas,Oil merchandise,2013,127,636.8,509.8
